事件代碼,事件名稱,年度,開始時間,結束時間,已下載時段,最後更新時間,狀態
R00212,2014_0807豪雨,2014,2014/08/09 15:55,2014/08/10 15:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:50,已下載
T1410,麥德姆颱風,2014,2014/07/22 20:55,2014/07/23 20:55,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:52,已下載
T1407,哈吉貝颱風,2014,2014/06/14 23:00,2014/06/15 11:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:42:53,已下載
R00193,2014_0519豪雨,2014,2014/05/19 23:20,2014/05/20 23:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:56,已下載
T1323,菲特颱風,2013,2013/10/05 16:15,2013/10/06 16:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:42:58,已下載
T1319,天兔颱風,2013,2013/09/21 05:00,2013/09/22 05:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:00,已下載
R00163,2013_0831豪雨,2013,2013/08/31 16:00,2013/09/01 16:00,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:02,已下載
T1315,康芮颱風,2013,2013/08/29 02:15,2013/08/30 02:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:04,已下載
T1312,潭美颱風,2013,2013/08/21 14:20,2013/08/22 14:20,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時,連續24小時",2026-09-11 09:43:06,已下載
T1308,西馬隆颱風,2013,2013/07/17 17:15,2013/07/18 05:15,"事件總累計,連續1小時,連續3小時,連續6小時,連續12小時",2026-09-11 09:43:08,已下載
